,Backend,Algorithm,Qubits,Bitstring,Mean TVD,TVD Std,CoV,N Runs,Ideal Counts,Noise Counts
0,fake_manila,DJ,2,,0.017333333333333343,0.013628907749221205,78.6283139378146,30,{'1': 100},"{'1': 95, '0': 5}"
1,fake_manila,DJ,3,,0.06466666666666666,0.0220865590790875,34.154472802712625,30,{'11': 100},"{'11': 98, '01': 2}"
2,fake_manila,DJ,4,,0.06300000000000001,0.021837961253838176,34.66343056164789,30,{'000': 100},"{'000': 92, '100': 3, '001': 3, '010': 2}"
3,fake_manila,BV,2,11,0.065,0.023744327816307524,36.52973510201157,30,{'011': 100},"{'011': 96, '001': 1, '010': 2, '000': 1}"
4,fake_manila,BV,3,110,0.07133333333333333,0.024030631792939103,33.68780157888659,30,{'0011': 100},"{'0011': 90, '0000': 1, '0010': 3, '0001': 4, '0111': 2}"
5,fake_manila,BV,4,1001,0.11399999999999999,0.03091701908278866,27.120192177884793,30,{'01001': 100},"{'01001': 85, '01101': 4, '00001': 6, '01011': 3, '00000': 1, '00011': 1}"
6,fake_manila,Grover,2,11,0.049000000000000016,0.02264417410040947,46.212600204917266,30,{'11': 100},"{'11': 91, '10': 5, '01': 3, '00': 1}"
7,fake_manila,Grover,3,101,0.4543333333333333,0.05379932914165339,11.841378387744694,30,"{'001': 2, '110': 1, '100': 3, '011': 2, '000': 2, '101': 90}","{'010': 2, '101': 53, '111': 6, '110': 9, '100': 10, '001': 11, '000': 5, '011': 4}"
8,fake_manila,Grover,4,1101,0.8843333333333336,0.02555363977493474,2.8895936420958988,30,"{'0001': 1, '1010': 2, '1011': 94, '1101': 1, '1000': 1, '0101': 1}","{'1100': 10, '1111': 8, '0110': 4, '0010': 10, '0100': 8, '1001': 6, '0011': 7, '1010': 6, '0101': 7, '0111': 4, '1110': 7, '1011': 4, '0001': 3, '1101': 6, '1000': 9, '0000': 1}"
9,fake_lima,DJ,2,,0.017666666666666674,0.011943352886058406,67.60388426070793,30,{'0': 100},{'0': 100}
10,fake_lima,DJ,3,,0.05666666666666667,0.02998083679140132,52.907359043649386,30,{'11': 100},"{'11': 95, '01': 3, '10': 2}"
11,fake_lima,DJ,4,,0.08866666666666666,0.025961952709797217,29.280397793004383,30,{'000': 100},"{'000': 93, '010': 2, '001': 1, '100': 3, '101': 1}"
12,fake_lima,BV,2,00,0.031333333333333345,0.015252661346824679,48.67870642603619,30,{'000': 100},"{'000': 98, '001': 2}"
13,fake_lima,BV,3,101,0.10533333333333333,0.02542512107363887,24.137773171176143,30,{'0101': 100},"{'0101': 81, '0111': 13, '0100': 4, '0001': 2}"
14,fake_lima,BV,4,0001,0.14233333333333334,0.04352433590638637,30.579158716430705,30,{'01000': 100},"{'01000': 83, '01010': 9, '01001': 2, '01100': 5, '00000': 1}"
15,fake_lima,Grover,2,10,0.05500000000000001,0.026619930308984133,48.39987328906206,30,{'01': 100},"{'01': 94, '00': 3, '11': 2, '10': 1}"
16,fake_lima,Grover,3,000,0.37433333333333335,0.05392736707405832,14.406242317201688,30,"{'001': 1, '100': 1, '011': 3, '111': 1, '000': 92, '010': 1, '101': 1}","{'000': 62, '001': 6, '010': 8, '101': 4, '011': 4, '111': 5, '100': 5, '110': 6}"
17,fake_lima,Grover,4,0011,0.8266666666666668,0.04179864156622331,5.05628728623669,30,"{'1110': 1, '0011': 2, '1000': 1, '1010': 1, '1100': 95}","{'1100': 14, '1111': 8, '0011': 8, '1011': 4, '1000': 8, '0001': 8, '1010': 4, '1101': 5, '0110': 6, '0010': 4, '1110': 7, '0100': 10, '0101': 2, '0111': 5, '1001': 5, '0000': 2}"
18,fake_jakarta,DJ,2,,0.016333333333333342,0.013767361035618179,84.2899655241929,30,{'0': 100},"{'0': 96, '1': 4}"
19,fake_jakarta,DJ,3,,0.040000000000000015,0.018754309849499513,46.885774623748766,30,{'00': 100},"{'00': 99, '10': 1}"
20,fake_jakarta,DJ,4,,0.05200000000000001,0.022954227317079034,44.142744840536594,30,{'000': 100},"{'000': 96, '010': 3, '001': 1}"
21,fake_jakarta,BV,2,00,0.03566666666666668,0.017749858344909906,49.76595797638289,30,{'000': 100},"{'000': 96, '001': 3, '010': 1}"
22,fake_jakarta,BV,3,011,0.08033333333333333,0.03090400412995649,38.46971468459314,30,{'0110': 100},"{'0110': 93, '0100': 2, '0010': 3, '0111': 2}"
23,fake_jakarta,BV,4,0000,0.07833333333333332,0.022603529375517545,28.855569415554317,30,{'00000': 100},"{'00000': 93, '01000': 4, '00010': 2, '00001': 1}"
24,fake_jakarta,Grover,2,10,0.06833333333333333,0.025875475452347863,37.86654944246028,30,{'01': 100},"{'01': 96, '11': 2, '00': 2}"
25,fake_jakarta,Grover,3,110,0.42433333333333334,0.04360349031690115,10.27576362534984,30,"{'111': 1, '000': 1, '110': 1, '011': 97}","{'011': 52, '111': 7, '101': 7, '001': 9, '100': 7, '000': 7, '010': 5, '110': 6}"
26,fake_jakarta,Grover,4,1001,0.8593333333333336,0.037410429426632585,4.35342468114421,30,"{'0100': 1, '1111': 1, '1001': 98}","{'0100': 4, '1000': 6, '0001': 4, '0011': 6, '0000': 5, '1111': 7, '1011': 9, '1001': 8, '0111': 3, '0101': 7, '1110': 4, '1100': 6, '0010': 7, '1010': 10, '0110': 7, '1101': 7}"
27,fake_guadalupe,DJ,2,,0.012000000000000005,0.01297211864226371,108.10098868553087,30,{'0': 100},{'0': 100}
28,fake_guadalupe,DJ,3,,0.02200000000000001,0.01517711525904073,68.98688754109419,30,{'00': 100},"{'00': 99, '10': 1}"
29,fake_guadalupe,DJ,4,,0.07066666666666667,0.025179813114988493,35.631811011776165,30,{'111': 100},"{'111': 92, '101': 5, '011': 2, '001': 1}"
